Target device: xilinx_u280_gen3x16_xdma_base_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
142.098,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
162.466,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
182.656,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
202.802,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
222.946,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
243.092,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
263.236,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
283.381,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
303.527,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
323.688,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
343.889,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
364.031,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
384.178,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
404.318,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
424.457,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
444.601,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
464.753,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
484.955,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
505.14,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
525.294,940,12184,1483,12153,11778,851,0,3286,0,2,0,0,30,26,0,0,33,42,37,35,28,0,0,1150,
